[segwindrvx64.sys](drivers/a4aa80bc-4ecd-49ab-bc0f-0f49b07fdd7f/),[65329dad28e92f4bcc64de15c552b6ef424494028b18875b7dba840053bc0cdd](drivers/a4aa80bc-4ecd-49ab-bc0f-0f49b07fdd7f/),2023-01-09
[Mhyprot2.sys](drivers/d1624a73-55e0-43f6-8d2d-f4f791ef1bff/),[509628b6d16d2428031311d7bd2add8d5f5160e9ecc0cd909f1e82bbbb3234d6](drivers/d1624a73-55e0-43f6-8d2d-f4f791ef1bff/),2023-01-09
[mtcBSv64.sys](drivers/3bc629e8-7bf8-40c2-965b-87eb155e0065/),[c9cf1d627078f63a36bbde364cd0d5f2be1714124d186c06db5bcdf549a109f8](drivers/3bc629e8-7bf8-40c2-965b-87eb155e0065/),2023-01-09
[gameink.sys](drivers/86b520f6-cc90-4488-b343-168cad88010d/),not available ,2023-01-09
[HOSTNT.sys](drivers/e42cd285-4dda-4086-a696-93ab1d6f17ca/),[07b6d69bafcfd767f1b63a490a8843c3bb1f8e1bbea56176109b5743c8f7d357](drivers/e42cd285-4dda-4086-a696-93ab1d6f17ca/),2023-01-09
[NTIOLib.sys](drivers/7f9842a0-8118-462e-8860-227265ff4379/),[18776682fcc0c6863147143759a8d4050a4115a8ede0136e49a7cf885c8a4805](drivers/7f9842a0-8118-462e-8860-227265ff4379/),2023-05-06
[ntbios_2.sys](drivers/33a9c9ae-5ca3-442d-9f0f-2615637c1c57/),[c0d88db11d0f529754d290ed5f4c34b4dba8c4f2e5c4148866daabeab0d25f9c](drivers/33a9c9ae-5ca3-442d-9f0f-2615637c1c57/),2023-02-28
[BlackBoneDrv10.sys](drivers/722772ee-a461-48ec-933d-f3df1578963e/),[f51bdb0ad924178131c21e39a8ccd191e46b5512b0f2e1cc8486f63e84e5d960](drivers/722772ee-a461-48ec-933d-f3df1578963e/),2023-01-09
[BS_HWMIo64.sys](drivers/d158321b-4d56-49c5-9a18-bcff9f4a2ebe/),[60c6f4f34c7319cb3f9ca682e59d92711a05a2688badbae4891b1303cd384813](drivers/d158321b-4d56-49c5-9a18-bcff9f4a2ebe/),2023-01-09
[blacklotus_driver.sys](drivers/8750b245-af35-4bc6-9af3-dc858f9db64f/),[749b0e8c8c8b7dda8c2063c708047cfe95afa0a4d86886b31a12f3018396e67c](drivers/8750b245-af35-4bc6-9af3-dc858f9db64f/),2023-04-05
[KApcHelper_x64.sys](drivers/5261cacf-380c-4573-85ff-a643cbdf009a/),[d7c81b0f3c14844f6424e8bdd31a128e773cb96cccef6d05cbff473f0ccb9f9c](drivers/5261cacf-380c-4573-85ff-a643cbdf009a/),2023-05-06
[cpuz141.sys](drivers/fab98aaa-e4e7-4c4a-af65-c00d35cf66e9/),[ded2927f9a4e64eefd09d0caba78e94f309e3a6292841ae81d5528cab109f95d](drivers/fab98aaa-e4e7-4c4a-af65-c00d35cf66e9/),2023-01-09
[t7.sys](drivers/7196366e-04f0-4aaf-9184-ed0a0d21a75f/),[be03e9541f56ac6ed1e81407dcd7cc85c0ffc538c3c2c2c8a9c747edbcf13100](drivers/7196366e-04f0-4aaf-9184-ed0a0d21a75f/),2023-01-09
[fiddrv64.sys](drivers/64f3d4b0-6d2b-4275-b3d4-15d092af4092/),not available ,2023-01-09
[wantd_2.sys](drivers/aa687f89-4f3b-4b59-b64e-fee5e2ae2310/),[6908ebf52eb19c6719a0b508d1e2128f198d10441551cbfb9f4031d382f5229f](drivers/aa687f89-4f3b-4b59-b64e-fee5e2ae2310/),2023-02-28
[nt5.sys](drivers/193df066-c27c-4343-a4eb-ad2ac417a4cc/),[fd33fb2735cc5ef466a54807d3436622407287e325276fcd3ed1290c98bd0533](drivers/193df066-c27c-4343-a4eb-ad2ac417a4cc/),2023-01-09
[ALSysIO64.sys](drivers/4d365dd0-34c3-492e-a2bd-c16266796ae5/),[7196187fb1ef8d108b380d37b2af8efdeb3ca1f6eefd37b5dc114c609147216d](drivers/4d365dd0-34c3-492e-a2bd-c16266796ae5/),2023-01-09
[physmem.sys](drivers/f4c22f4d-eff8-40c5-8b31-146abe5f17b7/),not available ,2023-01-09
[BS_I2cIo.sys](drivers/a33de377-d2c2-4c71-98ca-cd0be8d284f9/),[55fee54c0d0d873724864dc0b2a10b38b7f40300ee9cae4d9baaf8a202c4049a](drivers/a33de377-d2c2-4c71-98ca-cd0be8d284f9/),2023-01-09
[zam64.sys](drivers/e5f12b82-8d07-474e-9587-8c7b3714d60c/),[2bbc6b9dd5e6d0327250b32305be20c89b19b56d33a096522ee33f22d8c82ff1](drivers/e5f12b82-8d07-474e-9587-8c7b3714d60c/),2023-05-06
[mhyprot.sys](drivers/50cfaec9-55f8-49df-aa3e-b9ec3f4f4ff3/),[509628b6d16d2428031311d7bd2add8d5f5160e9ecc0cd909f1e82bbbb3234d6](drivers/50cfaec9-55f8-49df-aa3e-b9ec3f4f4ff3/),2023-01-09
[wantd_4.sys](drivers/72637cb1-5ca2-4ad0-a5df-20da17b231b5/),[8d9a2363b757d3f127b9c6ed8f7b8b018e652369bc070aa3500b3a978feaa6ce](drivers/72637cb1-5ca2-4ad0-a5df-20da17b231b5/),2023-02-28
[sandra.sys](drivers/bc5e020a-ecff-43c8-b57b-ee17b5f65b21/),[1aaf4c1e3cb6774857e2eef27c17e68dc1ae577112e4769665f516c2e8c4e27b](drivers/bc5e020a-ecff-43c8-b57b-ee17b5f65b21/),2023-01-09
[AMDPowerProfiler.sys](drivers/9a4fb66e-9084-4b21-9d76-a7afbe330606/),[0af5ccb3d33a9ba92071c9637be6254030d61998733a5eb3583e865e17844e05](drivers/9a4fb66e-9084-4b21-9d76-a7afbe330606/),2023-01-09
[prokiller64.sys](drivers/6fe10a55-7fb8-4a9d-9ebc-1b27b6e5b833/),[0440ef40c46fdd2b5d86e7feef8577a8591de862cfd7928cdbcc8f47b8fa3ffc](drivers/6fe10a55-7fb8-4a9d-9ebc-1b27b6e5b833/),2023-05-07
